Months,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
4.599589323,-0.061,16.7848,0.09122,14.15119781,14.93915224,15.27476073,15.78502856,16.7848,17.85201558,18.45417892,18.87419536,19.94430792,22.30512471
4.632443532,-0.0632,16.7899,0.0912,14.15647629,14.94429416,15.27986582,15.79010238,16.7899,17.85727276,18.45958414,18.8797293,19.9502645,22.31249475
4.665297741,-0.0653,16.7948,0.09118,14.16156566,14.94924808,15.28478225,15.79498524,16.7948,17.86231367,18.46476093,18.88502504,19.95595334,22.31950846
4.698151951,-0.0674,16.7997,0.09116,14.16665507,14.95420211,15.2896988,15.7998682,16.7997,17.86735444,18.4699375,18.89032051,19.96164185,22.32652232
4.73100616,-0.0696,16.8044,0.09113,14.17185976,14.95917848,15.29459768,15.80467228,16.8044,17.87206469,18.47470952,18.89515972,19.96674213,22.33265752
4.763860369,-0.0717,16.809,0.09111,14.17669622,14.96386569,15.29924143,15.80927329,16.809,17.87678606,18.47955573,18.9001172,19.97207331,22.33927238
4.796714579,-0.0737,16.8134,0.09109,14.18134353,14.96836485,15.30369647,15.81368333,16.8134,17.88129118,18.48417352,18.9048365,19.97713671,22.34553052
4.829568789,-0.0758,16.8178,0.09107,14.18601132,14.97287418,15.30815837,15.81809641,16.8178,17.88579957,18.48879942,18.90956858,19.9822296,22.35187976
4.862422998,-0.0779,16.822,0.09104,14.19077376,14.97739574,15.31259586,15.82242767,16.822,17.88997387,18.49301214,18.9138309,19.98670355,22.3572569
4.895277208,-0.08,16.8262,0.09102,14.19527277,14.98172715,15.31687589,15.82665282,16.8262,17.89426924,18.49741766,18.91833747,19.99155795,22.36333991
4.928131417,-0.082,16.8302,0.091,14.1995826,14.98587049,15.32096719,15.83068695,16.8302,17.89834839,18.50159479,18.92260588,19.99614456,22.36906596
4.960985626,-0.084,16.8341,0.09098,14.20380802,14.98992485,15.32496754,15.8346271,16.8341,17.90232106,18.50566178,18.9267616,20.00061204,22.37465908
4.993839836,-0.086,16.8379,0.09096,14.20794901,14.99389022,15.32887692,15.83847325,16.8379,17.90618726,18.50961864,18.93080465,20.00496038,22.38011925
5.026694045,-0.0881,16.8416,0.09094,14.21202595,14.99777662,15.33270206,15.84222836,16.8416,17.90995038,18.51347369,18.93474805,20.00921945,22.38553787
5.059548254,-0.0901,16.8452,0.09092,14.21599803,15.00156396,15.33642947,15.8458865,16.8452,17.91360365,18.5172103,18.93856574,20.01332953,22.39073219
5.092402464,-0.092,16.8487,0.0909,14.21986529,15.00525224,15.34005917,15.84944768,16.8487,17.91714705,18.52082847,18.94225773,20.0172906,22.39570204
5.125256674,-0.094,16.8521,0.09088,14.22366843,15.00886153,15.3436046,15.8529178,16.8521,17.92058739,18.52434484,18.94585009,20.02116242,22.40063036
5.158110883,-0.096,16.8554,0.09085,14.22765033,15.01257204,15.34721666,15.85640023,16.8554,17.92379967,18.52755732,18.9490842,20.02453221,22.40471416
5.190965093,-0.0979,16.8586,0.09083,14.23126411,15.01599321,15.35057335,15.85967936,16.8586,17.92702367,18.53084509,18.9524381,20.0281357,22.40928434
