Month,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
130,1,142.1916,0.04692,129.6436412,133.6415623,135.2769,137.691654,142.1916,146.691546,149.1063,150.7416377,154.7395588,162.8084862
131,1,142.6501,0.04698,130.0455823,134.0615237,135.7042326,138.1298709,142.6501,147.1703291,149.5959674,151.2386763,155.2546177,163.3599151
132,1,143.1126,0.04703,130.4537577,134.4870075,136.1367964,138.572889,143.1126,147.652311,150.0884036,151.7381925,155.7714423,163.911673
133,1,143.5795,0.04709,130.863156,134.9147265,136.5720094,139.0191678,143.5795,148.1398322,150.5869906,152.2442735,156.295844,164.4730509
134,1,144.0511,0.04714,131.2794415,135.3486359,137.0131277,139.4709309,144.0511,148.6312691,151.0890723,152.7535641,156.8227585,165.0355352
135,1,144.5276,0.04719,131.7001034,135.7870884,137.4588575,139.9274063,144.5276,149.1277937,151.5963425,153.2681116,157.3550966,165.6037799
136,1,145.0093,0.04723,132.128141,136.2322234,137.9109862,140.3898619,145.0093,149.6287381,152.1076138,153.7863766,157.890459,166.1736498
137,1,145.4964,0.04728,132.5582895,136.6805173,138.3667024,140.8565379,145.4964,150.1362621,152.6260976,154.3122827,158.4345105,166.7543237
138,1,145.9891,0.04732,132.9961937,137.1358801,138.8292065,141.3295871,145.9891,150.6486129,153.1489935,154.8423199,158.9820063,167.3370558
139,1,146.4878,0.04736,133.4394893,137.5968281,139.2973752,141.808418,146.4878,151.167182,153.6782248,155.3787719,159.5361107,167.9267879
140,1,146.9927,0.0474,133.8883571,138.0635484,139.7713981,142.2932237,146.9927,151.6921763,154.2140019,155.9218516,160.0970429,168.5237514
141,1,147.5041,0.04744,134.343069,138.5363218,140.2515594,142.7842942,147.5041,152.2239058,154.7566406,156.4718782,160.665131,169.1282926
142,1,148.0224,0.04747,134.8067718,139.0174199,140.739773,143.2830146,148.0224,152.7617854,155.305027,157.0273801,161.2380282,169.7362984
143,1,148.5478,0.0475,135.2768817,139.5051459,141.2347048,143.7885865,148.5478,153.3070135,155.8608952,157.5904541,161.8187183,170.3525425
144,1,149.0807,0.04753,135.753762,139.9998746,141.7367344,144.3013967,149.0807,153.8600033,156.4246656,158.1615254,162.407638,170.9774856
145,1,149.6212,0.04755,136.2403163,140.5036167,142.247507,144.8225507,149.6212,154.4198493,156.994893,158.7387833,163.0020837,171.6066208
146,1,150.1694,0.04758,136.7310167,141.0126371,142.7640212,145.3501302,150.1694,154.9886698,157.5747788,159.3261629,163.6077833,172.2492954
147,1,150.7256,0.04759,137.2346086,141.5329905,143.2912309,145.8874639,150.7256,155.5637361,158.1599691,159.9182095,164.2165914,172.8919331
148,1,151.2899,0.04761,137.7427089,142.0589967,143.8245614,146.4316096,151.2899,156.1481904,158.7552386,160.5208033,164.8370911,173.5485718
149,1,151.8623,0.04762,138.2609974,142.5945257,144.3671426,146.9846041,151.8623,156.7399959,159.3574574,161.1300743,165.4636026,174.2098796
150,1,152.4425,0.04763,138.7863655,143.1373639,144.9171268,147.5451404,152.4425,157.3398596,159.9678732,161.7476361,166.0986345,174.8801708
151,1,153.0298,0.04763,139.3210539,143.6888149,145.4754346,148.1135728,153.0298,157.9460272,160.5841654,162.3707851,166.7385461,175.5539142
152,1,153.6234,0.04764,139.8585886,144.2442126,146.0381391,148.6870666,153.6234,158.5597334,161.2086609,163.0025874,167.3882114,176.2396322
153,1,154.2223,0.04763,140.4067271,144.8085244,146.6090664,149.2677626,154.2223,159.1768374,161.8355336,163.6360756,168.0378729,176.9219356
154,1,154.8258,0.04763,140.9561643,145.3751866,147.1827745,149.8518746,154.8258,159.7997254,162.4688255,164.2764134,168.6954357,177.6142634
155,1,155.4329,0.04762,141.5118023,145.9472209,147.7615157,150.4405193,155.4329,160.4252807,163.1042843,164.9185791,169.3539977,178.3059179
156,1,156.0426,0.0476,142.0727652,146.523712,148.3443586,151.0327412,156.0426,161.0524588,163.7408414,165.561488,170.0124348,178.9956953
157,1,156.6539,0.04758,142.6352308,147.1017368,148.9287478,151.6265282,156.6539,161.6812718,164.3790522,166.2060632,170.6725692,179.6872325
158,1,157.266,0.04756,143.1984707,147.6805441,149.5139229,152.2211061,157.266,162.3108939,165.0180771,166.8514559,171.3335293,180.3796118
159,1,157.8775,0.04754,143.7612104,148.2588194,150.098553,152.8151196,157.8775,162.9398804,165.656447,167.4961806,171.9937896,181.0712273
160,1,158.4871,0.04751,144.3252468,148.8373728,150.6830446,153.4083796,158.4871,163.5658204,166.2911554,168.1368272,172.6489532,181.7556906
161,1,159.0937,0.04747,144.889612,149.4151945,151.2663706,153.9998334,159.0937,164.1875666,166.9210294,168.7722055,173.297788,182.4316842
162,1,159.6962,0.04744,145.4473307,149.9871811,151.8441934,154.5862739,159.6962,164.8061261,167.5482066,169.4052189,173.9450693,183.107762
163,1,160.2939,0.0474,146.0037602,150.5567598,152.4191508,155.1691735,160.2939,165.4186265,168.1686492,170.0310402,174.5840398,183.7732714
164,1,160.8861,0.04735,146.5582955,151.1232955,152.9905952,155.7478662,160.8861,166.0243338,168.7816048,170.6489045,175.2139045,184.4273563
165,1,161.472,0.0473,147.1072026,151.683989,153.5561098,156.3204998,161.472,166.6235002,169.3878902,171.260011,175.8367974,185.0740374
